sample_id,brand,panel,thickness_um,thickness_mils,oem_range_um,label
V0005-door_jamb_right,Ferrari,door_jamb_right,198.2,7.8,150-200,factory_normal
V0006-hood,Ferrari,hood,178.0,7.01,150-200,factory_normal
V0006-roof,Ferrari,roof,174.1,6.85,150-200,factory_normal
V0006-trunk,Ferrari,trunk,180.1,7.09,150-200,factory_normal
V0006-door_front_left,Ferrari,door_front_left,180.3,7.1,150-200,factory_normal
V0006-door_front_right,Ferrari,door_front_right,186.0,7.32,150-200,factory_normal
V0006-door_rear_left,Ferrari,door_rear_left,183.4,7.22,150-200,factory_normal
V0006-door_rear_right,Ferrari,door_rear_right,181.0,7.13,150-200,factory_normal
V0006-fender_left,Ferrari,fender_left,186.5,7.34,150-200,factory_normal
V0006-fender_right,Ferrari,fender_right,173.3,6.82,150-200,factory_normal
V0006-quarter_left,Ferrari,quarter_left,176.0,6.93,150-200,factory_normal
V0006-quarter_right,Ferrari,quarter_right,174.6,6.87,150-200,factory_normal
V0006-bumper_front,Ferrari,bumper_front,175.1,6.89,150-200,factory_normal
V0006-bumper_rear,Ferrari,bumper_rear,183.5,7.22,150-200,factory_normal
V0006-door_jamb_left,Ferrari,door_jamb_left,181.7,7.15,150-200,factory_normal
V0006-door_jamb_right,Ferrari,door_jamb_right,185.2,7.29,150-200,factory_normal
V0007-hood,Ferrari,hood,176.6,6.95,150-200,factory_normal
V0007-roof,Ferrari,roof,169.6,6.68,150-200,factory_normal
V0007-trunk,Ferrari,trunk,163.9,6.45,150-200,factory_normal
V0007-door_front_left,Ferrari,door_front_left,175.9,6.93,150-200,factory_normal
V0007-door_front_right,Ferrari,door_front_right,170.5,6.71,150-200,factory_normal
V0007-door_rear_left,Ferrari,door_rear_left,172.5,6.79,150-200,factory_normal
V0007-door_rear_right,Ferrari,door_rear_right,171.5,6.75,150-200,factory_normal
V0007-fender_left,Ferrari,fender_left,173.8,6.84,150-200,factory_normal
V0007-fender_right,Ferrari,fender_right,179.9,7.08,150-200,factory_normal
V0007-quarter_left,Ferrari,quarter_left,175.3,6.9,150-200,factory_normal
V0007-quarter_right,Ferrari,quarter_right,173.7,6.84,150-200,factory_normal
V0007-bumper_front,Ferrari,bumper_front,178.7,7.04,150-200,factory_normal
V0007-bumper_rear,Ferrari,bumper_rear,184.0,7.24,150-200,factory_normal
V0007-door_jamb_left,Ferrari,door_jamb_left,173.0,6.81,150-200,factory_normal
V0007-door_jamb_right,Ferrari,door_jamb_right,171.0,6.73,150-200,factory_normal
V0008-hood,Ferrari,hood,148.2,5.83,150-200,factory_normal
V0008-roof,Ferrari,roof,162.5,6.4,150-200,factory_normal
V0008-trunk,Ferrari,trunk,147.8,5.82,150-200,factory_normal
V0008-door_front_left,Ferrari,door_front_left,156.1,6.15,150-200,factory_normal
V0008-door_front_right,Ferrari,door_front_right,147.4,5.8,150-200,factory_normal
V0008-door_rear_left,Ferrari,door_rear_left,156.5,6.16,150-200,factory_normal
V0008-door_rear_right,Ferrari,door_rear_right,153.8,6.06,150-200,factory_normal
V0008-fender_left,Ferrari,fender_left,151.1,5.95,150-200,factory_normal
V0008-fender_right,Ferrari,fender_right,151.7,5.97,150-200,factory_normal
V0008-quarter_left,Ferrari,quarter_left,148.6,5.85,150-200,factory_normal
V0008-quarter_right,Ferrari,quarter_right,154.1,6.07,150-200,factory_normal
V0008-bumper_front,Ferrari,bumper_front,159.2,6.27,150-200,factory_normal
V0008-bumper_rear,Ferrari,bumper_rear,152.6,6.01,150-200,factory_normal
V0008-door_jamb_left,Ferrari,door_jamb_left,152.7,6.01,150-200,factory_normal
V0008-door_jamb_right,Ferrari,door_jamb_right,155.8,6.13,150-200,factory_normal
V0009-hood,Lamborghini,hood,158.8,6.25,130-170,respray
V0009-roof,Lamborghini,roof,166.4,6.55,130-170,respray
V0009-trunk,Lamborghini,trunk,163.0,6.42,130-170,respray
V0009-door_front_left,Lamborghini,door_front_left,168.6,6.64,130-170,respray
V0009-door_front_right,Lamborghini,door_front_right,161.8,6.37,130-170,respray
V0009-door_rear_left,Lamborghini,door_rear_left,154.8,6.09,130-170,respray
V0009-door_rear_right,Lamborghini,door_rear_right,154.0,6.06,130-170,respray
V0009-fender_left,Lamborghini,fender_left,169.1,6.66,130-170,respray
V0009-fender_right,Lamborghini,fender_right,169.5,6.67,130-170,respray
V0009-quarter_left,Lamborghini,quarter_left,160.0,6.3,130-170,respray
V0009-quarter_right,Lamborghini,quarter_right,159.0,6.26,130-170,respray
V0009-bumper_front,Lamborghini,bumper_front,176.1,6.93,130-170,respray
V0009-bumper_rear,Lamborghini,bumper_rear,161.7,6.37,130-170,respray
V0009-door_jamb_left,Lamborghini,door_jamb_left,161.9,6.37,130-170,respray
V0009-door_jamb_right,Lamborghini,door_jamb_right,165.1,6.5,130-170,respray
V0010-hood,Lamborghini,hood,138.5,5.45,130-170,factory_normal
V0010-roof,Lamborghini,roof,125.0,4.92,130-170,factory_normal
V0010-trunk,Lamborghini,trunk,135.0,5.31,130-170,factory_normal
V0010-door_front_left,Lamborghini,door_front_left,131.1,5.16,130-170,factory_normal
V0010-door_front_right,Lamborghini,door_front_right,129.2,5.09,130-170,factory_normal
V0010-door_rear_left,Lamborghini,door_rear_left,130.9,5.15,130-170,factory_normal
V0010-door_rear_right,Lamborghini,door_rear_right,133.6,5.26,130-170,factory_normal
V0010-fender_left,Lamborghini,fender_left,139.9,5.51,130-170,factory_normal
V0010-fender_right,Lamborghini,fender_right,128.6,5.06,130-170,factory_normal
V0010-quarter_left,Lamborghini,quarter_left,135.4,5.33,130-170,factory_normal
V0010-quarter_right,Lamborghini,quarter_right,132.9,5.23,130-170,factory_normal
V0010-bumper_front,Lamborghini,bumper_front,134.7,5.3,130-170,factory_normal
V0010-bumper_rear,Lamborghini,bumper_rear,146.0,5.75,130-170,factory_normal
V0010-door_jamb_left,Lamborghini,door_jamb_left,136.0,5.35,130-170,factory_normal
V0010-door_jamb_right,Lamborghini,door_jamb_right,135.8,5.35,130-170,factory_normal
V0011-hood,Lamborghini,hood,134.7,5.3,130-170,factory_normal
V0011-roof,Lamborghini,roof,135.4,5.33,130-170,factory_normal
V0011-trunk,Lamborghini,trunk,146.8,5.78,130-170,factory_normal
V0011-door_front_left,Lamborghini,door_front_left,143.6,5.65,130-170,factory_normal
V0011-door_front_right,Lamborghini,door_front_right,130.0,5.12,130-170,factory_normal
V0011-door_rear_left,Lamborghini,door_rear_left,132.8,5.23,130-170,factory_normal
V0011-door_rear_right,Lamborghini,door_rear_right,126.9,5.0,130-170,factory_normal
V0011-fender_left,Lamborghini,fender_left,131.3,5.17,130-170,factory_normal
V0011-fender_right,Lamborghini,fender_right,135.8,5.35,130-170,factory_normal
V0011-quarter_left,Lamborghini,quarter_left,140.3,5.52,130-170,factory_normal
V0011-quarter_right,Lamborghini,quarter_right,130.6,5.14,130-170,factory_normal
V0011-bumper_front,Lamborghini,bumper_front,161.1,6.34,130-170,respray
V0011-bumper_rear,Lamborghini,bumper_rear,126.2,4.97,130-170,factory_normal
V0011-door_jamb_left,Lamborghini,door_jamb_left,131.6,5.18,130-170,factory_normal
V0011-door_jamb_right,Lamborghini,door_jamb_right,134.0,5.28,130-170,factory_normal
V0012-hood,Lamborghini,hood,157.4,6.2,130-170,respray
V0012-roof,Lamborghini,roof,240.9,9.48,130-170,respray
V0012-trunk,Lamborghini,trunk,158.3,6.23,130-170,respray
V0012-door_front_left,Lamborghini,door_front_left,159.2,6.27,130-170,respray
V0012-door_front_right,Lamborghini,door_front_right,173.9,6.85,130-170,respray
V0012-door_rear_left,Lamborghini,door_rear_left,179.2,7.06,130-170,respray
V0012-door_rear_right,Lamborghini,door_rear_right,158.8,6.25,130-170,respray
V0012-fender_left,Lamborghini,fender_left,162.9,6.41,130-170,respray
V0012-fender_right,Lamborghini,fender_right,243.9,9.6,130-170,respray
V0012-quarter_left,Lamborghini,quarter_left,173.3,6.82,130-170,respray
V0012-quarter_right,Lamborghini,quarter_right,159.8,6.29,130-170,respray
V0012-bumper_front,Lamborghini,bumper_front,165.9,6.53,130-170,respray
V0012-bumper_rear,Lamborghini,bumper_rear,181.3,7.14,130-170,respray
V0012-door_jamb_left,Lamborghini,door_jamb_left,167.7,6.6,130-170,respray
V0012-door_jamb_right,Lamborghini,door_jamb_right,165.2,6.5,130-170,respray
V0013-hood,Lamborghini,hood,143.0,5.63,130-170,factory_normal
V0013-roof,Lamborghini,roof,142.7,5.62,130-170,factory_normal
V0013-trunk,Lamborghini,trunk,139.1,5.48,130-170,factory_normal
V0013-door_front_left,Lamborghini,door_front_left,144.3,5.68,130-170,factory_normal
V0013-door_front_right,Lamborghini,door_front_right,142.2,5.6,130-170,factory_normal
V0013-door_rear_left,Lamborghini,door_rear_left,153.2,6.03,130-170,respray
V0013-door_rear_right,Lamborghini,door_rear_right,150.6,5.93,130-170,respray
V0013-fender_left,Lamborghini,fender_left,144.6,5.69,130-170,factory_normal
V0013-fender_right,Lamborghini,fender_right,138.9,5.47,130-170,factory_normal
V0013-quarter_left,Lamborghini,quarter_left,137.2,5.4,130-170,factory_normal
V0013-quarter_right,Lamborghini,quarter_right,148.7,5.85,130-170,factory_normal
V0013-bumper_front,Lamborghini,bumper_front,140.9,5.55,130-170,factory_normal
V0013-bumper_rear,Lamborghini,bumper_rear,148.4,5.84,130-170,factory_normal
V0013-door_jamb_left,Lamborghini,door_jamb_left,143.5,5.65,130-170,factory_normal
V0013-door_jamb_right,Lamborghini,door_jamb_right,142.9,5.63,130-170,factory_normal
V0014-hood,Lamborghini,hood,160.6,6.32,130-170,respray
V0014-roof,Lamborghini,roof,159.9,6.3,130-170,respray
V0014-trunk,Lamborghini,trunk,161.9,6.37,130-170,respray
V0014-door_front_left,Lamborghini,door_front_left,168.5,6.63,130-170,respray
V0014-door_front_right,Lamborghini,door_front_right,148.3,5.84,130-170,factory_normal
V0014-door_rear_left,Lamborghini,door_rear_left,160.0,6.3,130-170,respray
V0014-door_rear_right,Lamborghini,door_rear_right,162.0,6.38,130-170,respray
V0014-fender_left,Lamborghini,fender_left,162.6,6.4,130-170,respray
V0014-fender_right,Lamborghini,fender_right,159.3,6.27,130-170,respray
V0014-quarter_left,Lamborghini,quarter_left,152.4,6.0,130-170,respray
V0014-quarter_right,Lamborghini,quarter_right,162.8,6.41,130-170,respray
V0014-bumper_front,Lamborghini,bumper_front,167.3,6.59,130-170,respray
V0014-bumper_rear,Lamborghini,bumper_rear,158.1,6.22,130-170,respray
V0014-door_jamb_left,Lamborghini,door_jamb_left,165.1,6.5,130-170,respray
V0014-door_jamb_right,Lamborghini,door_jamb_right,162.9,6.41,130-170,respray
V0015-hood,Lamborghini,hood,155.1,6.11,130-170,respray
V0015-roof,Lamborghini,roof,151.4,5.96,130-170,respray
V0015-trunk,Lamborghini,trunk,158.0,6.22,130-170,respray
V0015-door_front_left,Lamborghini,door_front_left,151.4,5.96,130-170,respray
V0015-door_front_right,Lamborghini,door_front_right,153.4,6.04,130-170,respray
V0015-door_rear_left,Lamborghini,door_rear_left,147.8,5.82,130-170,factory_normal
V0015-door_rear_right,Lamborghini,door_rear_right,149.6,5.89,130-170,factory_normal
V0015-fender_left,Lamborghini,fender_left,145.7,5.74,130-170,factory_normal
V0015-fender_right,Lamborghini,fender_right,154.2,6.07,130-170,respray
V0015-quarter_left,Lamborghini,quarter_left,143.3,5.64,130-170,factory_normal
V0015-quarter_right,Lamborghini,quarter_right,309.0,12.17,130-170,repair_or_filler
V0015-bumper_front,Lamborghini,bumper_front,151.1,5.95,130-170,respray
V0015-bumper_rear,Lamborghini,bumper_rear,178.2,7.02,130-170,respray
V0015-door_jamb_left,Lamborghini,door_jamb_left,290.7,11.44,130-170,repair_or_filler
V0015-door_jamb_right,Lamborghini,door_jamb_right,146.2,5.76,130-170,factory_normal
V0016-hood,Lamborghini,hood,134.1,5.28,130-170,factory_normal
V0016-roof,Lamborghini,roof,136.8,5.39,130-170,factory_normal
V0016-trunk,Lamborghini,trunk,141.7,5.58,130-170,factory_normal
V0016-door_front_left,Lamborghini,door_front_left,145.9,5.74,130-170,factory_normal
V0016-door_front_right,Lamborghini,door_front_right,143.2,5.64,130-170,factory_normal
V0016-door_rear_left,Lamborghini,door_rear_left,128.7,5.07,130-170,factory_normal
V0016-door_rear_right,Lamborghini,door_rear_right,141.7,5.58,130-170,factory_normal
V0016-fender_left,Lamborghini,fender_left,140.5,5.53,130-170,factory_normal
V0016-fender_right,Lamborghini,fender_right,142.2,5.6,130-170,factory_normal
V0016-quarter_left,Lamborghini,quarter_left,148.2,5.83,130-170,factory_normal
V0016-quarter_right,Lamborghini,quarter_right,129.8,5.11,130-170,factory_normal
V0016-bumper_front,Lamborghini,bumper_front,153.6,6.05,130-170,respray
V0016-bumper_rear,Lamborghini,bumper_rear,145.4,5.72,130-170,factory_normal
V0016-door_jamb_left,Lamborghini,door_jamb_left,142.6,5.61,130-170,factory_normal
V0016-door_jamb_right,Lamborghini,door_jamb_right,143.3,5.64,130-170,factory_normal
V0017-hood,Lamborghini,hood,167.1,6.58,130-170,respray
V0017-roof,Lamborghini,roof,167.3,6.59,130-170,respray
V0017-trunk,Lamborghini,trunk,161.6,6.36,130-170,respray
V0017-door_front_left,Lamborghini,door_front_left,165.2,6.5,130-170,respray
V0017-door_front_right,Lamborghini,door_front_right,165.2,6.5,130-170,respray
V0017-door_rear_left,Lamborghini,door_rear_left,167.9,6.61,130-170,respray
V0017-door_rear_right,Lamborghini,door_rear_right,170.9,6.73,130-170,respray
V0017-fender_left,Lamborghini,fender_left,160.6,6.32,130-170,respray
V0017-fender_right,Lamborghini,fender_right,165.3,6.51,130-170,respray
V0017-quarter_left,Lamborghini,quarter_left,173.3,6.82,130-170,respray
V0017-quarter_right,Lamborghini,quarter_right,162.2,6.39,130-170,respray
V0017-bumper_front,Lamborghini,bumper_front,178.4,7.02,130-170,respray
V0017-bumper_rear,Lamborghini,bumper_rear,183.4,7.22,130-170,respray
V0017-door_jamb_left,Lamborghini,door_jamb_left,167.6,6.6,130-170,respray
V0017-door_jamb_right,Lamborghini,door_jamb_right,172.9,6.81,130-170,respray
V0018-hood,Lamborghini,hood,145.5,5.73,130-170,factory_normal
V0018-roof,Lamborghini,roof,163.5,6.44,130-170,respray
V0018-trunk,Lamborghini,trunk,153.2,6.03,130-170,respray
V0018-door_front_left,Lamborghini,door_front_left,156.0,6.14,130-170,respray
V0018-door_front_right,Lamborghini,door_front_right,162.0,6.38,130-170,respray
V0018-door_rear_left,Lamborghini,door_rear_left,147.5,5.81,130-170,factory_normal
V0018-door_rear_right,Lamborghini,door_rear_right,149.2,5.87,130-170,factory_normal
V0018-fender_left,Lamborghini,fender_left,147.5,5.81,130-170,factory_normal
V0018-fender_right,Lamborghini,fender_right,151.5,5.96,130-170,respray
V0018-quarter_left,Lamborghini,quarter_left,157.7,6.21,130-170,respray
V0018-quarter_right,Lamborghini,quarter_right,158.1,6.22,130-170,respray
V0018-bumper_front,Lamborghini,bumper_front,169.5,6.67,130-170,respray
V0018-bumper_rear,Lamborghini,bumper_rear,163.4,6.43,130-170,respray
V0018-door_jamb_left,Lamborghini,door_jamb_left,155.9,6.14,130-170,respray
V0018-door_jamb_right,Lamborghini,door_jamb_right,157.8,6.21,130-170,respray
V0019-hood,Lamborghini,hood,168.5,6.63,130-170,respray
V0019-roof,Lamborghini,roof,162.4,6.39,130-170,respray
V0019-trunk,Lamborghini,trunk,165.0,6.5,130-170,respray
V0019-door_front_left,Lamborghini,door_front_left,166.9,6.57,130-170,respray
V0019-door_front_right,Lamborghini,door_front_right,170.0,6.69,130-170,respray
V0019-door_rear_left,Lamborghini,door_rear_left,163.9,6.45,130-170,respray
V0019-door_rear_right,Lamborghini,door_rear_right,168.5,6.63,130-170,respray
V0019-fender_left,Lamborghini,fender_left,164.6,6.48,130-170,respray
V0019-fender_right,Lamborghini,fender_right,165.3,6.51,130-170,respray
V0019-quarter_left,Lamborghini,quarter_left,170.0,6.69,130-170,respray
V0019-quarter_right,Lamborghini,quarter_right,155.9,6.14,130-170,respray
V0019-bumper_front,Lamborghini,bumper_front,164.6,6.48,130-170,respray
V0019-bumper_rear,Lamborghini,bumper_rear,168.4,6.63,130-170,respray
V0019-door_jamb_left,Lamborghini,door_jamb_left,169.1,6.66,130-170,respray
V0019-door_jamb_right,Lamborghini,door_jamb_right,169.9,6.69,130-170,respray
V0020-hood,Lamborghini,hood,127.8,5.03,130-170,factory_normal
V0020-roof,Lamborghini,roof,138.4,5.45,130-170,factory_normal
V0020-trunk,Lamborghini,trunk,132.1,5.2,130-170,factory_normal
V0020-door_front_left,Lamborghini,door_front_left,127.4,5.02,130-170,factory_normal
V0020-door_front_right,Lamborghini,door_front_right,128.6,5.06,130-170,factory_normal
V0020-door_rear_left,Lamborghini,door_rear_left,124.2,4.89,130-170,factory_normal
V0020-door_rear_right,Lamborghini,door_rear_right,127.2,5.01,130-170,factory_normal
V0020-fender_left,Lamborghini,fender_left,129.8,5.11,130-170,factory_normal
V0020-fender_right,Lamborghini,fender_right,135.6,5.34,130-170,factory_normal
V0020-quarter_left,Lamborghini,quarter_left,140.2,5.52,130-170,factory_normal
V0020-quarter_right,Lamborghini,quarter_right,124.7,4.91,130-170,factory_normal
V0020-bumper_front,Lamborghini,bumper_front,150.9,5.94,130-170,respray
V0020-bumper_rear,Lamborghini,bumper_rear,128.4,5.06,130-170,factory_normal
V0020-door_jamb_left,Lamborghini,door_jamb_left,130.0,5.12,130-170,factory_normal
V0020-door_jamb_right,Lamborghini,door_jamb_right,128.4,5.06,130-170,factory_normal
V0021-hood,Porsche,hood,126.5,4.98,100-135,factory_normal
V0021-roof,Porsche,roof,129.1,5.08,100-135,factory_normal
V0021-trunk,Porsche,trunk,129.3,5.09,100-135,factory_normal
V0021-door_front_left,Porsche,door_front_left,134.0,5.28,100-135,factory_normal
V0021-door_front_right,Porsche,door_front_right,125.7,4.95,100-135,factory_normal
V0021-door_rear_left,Porsche,door_rear_left,120.1,4.73,100-135,factory_normal
V0021-door_rear_right,Porsche,door_rear_right,132.8,5.23,100-135,factory_normal
V0021-fender_left,Porsche,fender_left,125.8,4.95,100-135,factory_normal
V0021-fender_right,Porsche,fender_right,133.0,5.24,100-135,factory_normal
V0021-quarter_left,Porsche,quarter_left,129.4,5.09,100-135,factory_normal
V0021-quarter_right,Porsche,quarter_right,126.8,4.99,100-135,factory_normal
V0021-bumper_front,Porsche,bumper_front,147.9,5.82,100-135,factory_normal
V0021-bumper_rear,Porsche,bumper_rear,136.7,5.38,100-135,factory_normal
V0021-door_jamb_left,Porsche,door_jamb_left,128.4,5.06,100-135,factory_normal
V0021-door_jamb_right,Porsche,door_jamb_right,127.4,5.02,100-135,factory_normal
V0022-hood,Porsche,hood,110.2,4.34,100-135,factory_normal
V0022-roof,Porsche,roof,106.5,4.19,100-135,factory_normal
V0022-trunk,Porsche,trunk,104.0,4.09,100-135,factory_normal
V0022-door_front_left,Porsche,door_front_left,108.8,4.28,100-135,factory_normal
V0022-door_front_right,Porsche,door_front_right,112.1,4.41,100-135,factory_normal
V0022-door_rear_left,Porsche,door_rear_left,112.9,4.44,100-135,factory_normal
V0022-door_rear_right,Porsche,door_rear_right,124.1,4.89,100-135,factory_normal
V0022-fender_left,Porsche,fender_left,119.9,4.72,100-135,factory_normal
V0022-fender_right,Porsche,fender_right,109.6,4.31,100-135,factory_normal
V0022-quarter_left,Porsche,quarter_left,116.2,4.57,100-135,factory_normal
V0022-quarter_right,Porsche,quarter_right,112.4,4.43,100-135,factory_normal
V0022-bumper_front,Porsche,bumper_front,109.6,4.31,100-135,factory_normal
V0022-bumper_rear,Porsche,bumper_rear,123.4,4.86,100-135,factory_normal
V0022-door_jamb_left,Porsche,door_jamb_left,122.2,4.81,100-135,factory_normal
V0022-door_jamb_right,Porsche,door_jamb_right,115.1,4.53,100-135,factory_normal
V0023-hood,Porsche,hood,126.2,4.97,100-135,factory_normal
V0023-roof,Porsche,roof,128.7,5.07,100-135,factory_normal
V0023-trunk,Porsche,trunk,125.5,4.94,100-135,factory_normal
V0023-door_front_left,Porsche,door_front_left,124.9,4.92,100-135,factory_normal
V0023-door_front_right,Porsche,door_front_right,121.9,4.8,100-135,factory_normal
V0023-door_rear_left,Porsche,door_rear_left,127.9,5.04,100-135,factory_normal
V0023-door_rear_right,Porsche,door_rear_right,218.8,8.61,100-135,respray
V0023-fender_left,Porsche,fender_left,129.1,5.08,100-135,factory_normal
V0023-fender_right,Porsche,fender_right,131.2,5.17,100-135,factory_normal
V0023-quarter_left,Porsche,quarter_left,127.6,5.02,100-135,factory_normal
V0023-quarter_right,Porsche,quarter_right,124.4,4.9,100-135,factory_normal
V0023-bumper_front,Porsche,bumper_front,145.0,5.71,100-135,factory_normal
V0023-bumper_rear,Porsche,bumper_rear,197.0,7.76,100-135,respray
V0023-door_jamb_left,Porsche,door_jamb_left,116.9,4.6,100-135,factory_normal
V0023-door_jamb_right,Porsche,door_jamb_right,124.2,4.89,100-135,factory_normal
V0024-hood,Porsche,hood,137.0,5.39,100-135,factory_normal
V0024-roof,Porsche,roof,132.0,5.2,100-135,factory_normal
V0024-trunk,Porsche,trunk,137.2,5.4,100-135,factory_normal
V0024-door_front_left,Porsche,door_front_left,127.0,5.0,100-135,factory_normal
V0024-door_front_right,Porsche,door_front_right,133.4,5.25,100-135,factory_normal
V0024-door_rear_left,Porsche,door_rear_left,135.3,5.33,100-135,factory_normal
V0024-door_rear_right,Porsche,door_rear_right,134.4,5.29,100-135,factory_normal
V0024-fender_left,Porsche,fender_left,138.8,5.46,100-135,factory_normal
V0024-fender_right,Porsche,fender_right,136.6,5.38,100-135,factory_normal
V0024-quarter_left,Porsche,quarter_left,138.2,5.44,100-135,factory_normal
V0024-quarter_right,Porsche,quarter_right,131.4,5.17,100-135,factory_normal
