make,model,year,expected_min_um,expected_max_um,expected_avg_um,expected_avg_mils,oem_range_mils
Toyota,Tacoma,2017,89.2,114.2,101.7,4.0,3.5-4.5
Toyota,Tacoma,2018,88.8,113.8,101.3,3.99,3.5-4.5
Toyota,Tacoma,2019,88.4,113.4,100.9,3.97,3.5-4.5
Toyota,Tacoma,2020,88.0,113.0,100.5,3.96,3.5-4.4
Toyota,Tacoma,2021,87.6,112.6,100.1,3.94,3.4-4.4
Toyota,Tacoma,2022,87.2,112.2,99.7,3.93,3.4-4.4
Toyota,Tacoma,2023,86.8,111.8,99.3,3.91,3.4-4.4
Toyota,Tacoma,2024,86.4,111.4,98.9,3.89,3.4-4.4
Toyota,Tacoma,2025,86.0,111.0,98.5,3.88,3.4-4.4
Toyota,Tacoma,2026,85.6,110.6,98.1,3.86,3.4-4.4
Honda,Civic,2015,100.0,135.0,117.5,4.63,3.9-5.3
Honda,Civic,2016,99.6,134.6,117.1,4.61,3.9-5.3
Honda,Civic,2017,99.2,134.2,116.7,4.59,3.9-5.3
Honda,Civic,2018,98.8,133.8,116.3,4.58,3.9-5.3
Honda,Civic,2019,98.4,133.4,115.9,4.56,3.9-5.3
Honda,Civic,2020,98.0,133.0,115.5,4.55,3.9-5.2
Honda,Civic,2021,97.6,132.6,115.1,4.53,3.8-5.2
Honda,Civic,2022,97.2,132.2,114.7,4.52,3.8-5.2
Honda,Civic,2023,96.8,131.8,114.3,4.5,3.8-5.2
Honda,Civic,2024,96.4,131.4,113.9,4.48,3.8-5.2
Honda,Civic,2025,96.0,131.0,113.5,4.47,3.8-5.2
Honda,Civic,2026,95.6,130.6,113.1,4.45,3.8-5.1
Honda,Accord,2015,130.0,145.0,137.5,5.41,5.1-5.7
Honda,Accord,2016,129.6,144.6,137.1,5.4,5.1-5.7
Honda,Accord,2017,129.2,144.2,136.7,5.38,5.1-5.7
Honda,Accord,2018,128.8,143.8,136.3,5.37,5.1-5.7
Honda,Accord,2019,128.4,143.4,135.9,5.35,5.1-5.6
Honda,Accord,2020,128.0,143.0,135.5,5.33,5.0-5.6
Honda,Accord,2021,127.6,142.6,135.1,5.32,5.0-5.6
Honda,Accord,2022,127.2,142.2,134.7,5.3,5.0-5.6
Honda,Accord,2023,126.8,141.8,134.3,5.29,5.0-5.6
Honda,Accord,2024,126.4,141.4,133.9,5.27,5.0-5.6
Honda,Accord,2025,126.0,141.0,133.5,5.26,5.0-5.6
Honda,Accord,2026,125.6,140.6,133.1,5.24,4.9-5.5
Honda,CR-V,2015,87.0,98.0,92.5,3.64,3.4-3.9
Honda,CR-V,2016,86.6,97.6,92.1,3.63,3.4-3.8
Honda,CR-V,2017,86.2,97.2,91.7,3.61,3.4-3.8
Honda,CR-V,2018,85.8,96.8,91.3,3.59,3.4-3.8
Honda,CR-V,2019,85.4,96.4,90.9,3.58,3.4-3.8
Honda,CR-V,2020,85.0,96.0,90.5,3.56,3.3-3.8
Honda,CR-V,2021,84.6,95.6,90.1,3.55,3.3-3.8
Honda,CR-V,2022,84.2,95.2,89.7,3.53,3.3-3.7
Honda,CR-V,2023,83.8,94.8,89.3,3.52,3.3-3.7
Honda,CR-V,2024,83.4,94.4,88.9,3.5,3.3-3.7
Honda,CR-V,2025,83.0,94.0,88.5,3.48,3.3-3.7
Honda,CR-V,2026,82.6,93.6,88.1,3.47,3.3-3.7
Honda,Fit/Jazz,2015,87.0,98.0,92.5,3.64,3.4-3.9
Honda,Fit/Jazz,2016,86.6,97.6,92.1,3.63,3.4-3.8
Honda,Fit/Jazz,2017,86.2,97.2,91.7,3.61,3.4-3.8
Honda,Fit/Jazz,2018,85.8,96.8,91.3,3.59,3.4-3.8
Honda,Fit/Jazz,2019,85.4,96.4,90.9,3.58,3.4-3.8
Honda,Fit/Jazz,2020,85.0,96.0,90.5,3.56,3.3-3.8
Honda,Fit/Jazz,2021,84.6,95.6,90.1,3.55,3.3-3.8
Honda,Fit/Jazz,2022,84.2,95.2,89.7,3.53,3.3-3.7
Honda,Fit/Jazz,2023,83.8,94.8,89.3,3.52,3.3-3.7
Honda,Fit/Jazz,2024,83.4,94.4,88.9,3.5,3.3-3.7
Honda,Fit/Jazz,2025,83.0,94.0,88.5,3.48,3.3-3.7
Honda,Fit/Jazz,2026,82.6,93.6,88.1,3.47,3.3-3.7
Honda,HR-V,2015,85.0,100.0,92.5,3.64,3.3-3.9
Honda,HR-V,2016,84.6,99.6,92.1,3.63,3.3-3.9
Honda,HR-V,2017,84.2,99.2,91.7,3.61,3.3-3.9
Honda,HR-V,2018,83.8,98.8,91.3,3.59,3.3-3.9
Honda,HR-V,2019,83.4,98.4,90.9,3.58,3.3-3.9
Honda,HR-V,2020,83.0,98.0,90.5,3.56,3.3-3.9
Honda,HR-V,2021,82.6,97.6,90.1,3.55,3.3-3.8
Honda,HR-V,2022,82.2,97.2,89.7,3.53,3.2-3.8
Honda,HR-V,2023,81.8,96.8,89.3,3.52,3.2-3.8
Honda,HR-V,2024,81.4,96.4,88.9,3.5,3.2-3.8
Honda,HR-V,2025,81.0,96.0,88.5,3.48,3.2-3.8
Honda,HR-V,2026,80.6,95.6,88.1,3.47,3.2-3.8
Honda,Pilot,2015,95.0,115.0,105.0,4.13,3.7-4.5
Honda,Pilot,2016,94.6,114.6,104.6,4.12,3.7-4.5
Honda,Pilot,2017,94.2,114.2,104.2,4.1,3.7-4.5
Honda,Pilot,2018,93.8,113.8,103.8,4.09,3.7-4.5
Honda,Pilot,2019,93.4,113.4,103.4,4.07,3.7-4.5
Honda,Pilot,2020,93.0,113.0,103.0,4.06,3.7-4.4
Honda,Pilot,2021,92.6,112.6,102.6,4.04,3.6-4.4
Honda,Pilot,2022,92.2,112.2,102.2,4.02,3.6-4.4
Honda,Pilot,2023,91.8,111.8,101.8,4.01,3.6-4.4
Honda,Pilot,2024,91.4,111.4,101.4,3.99,3.6-4.4
Honda,Pilot,2025,91.0,111.0,101.0,3.98,3.6-4.4
Honda,Pilot,2026,90.6,110.6,100.6,3.96,3.6-4.4
Ford,Focus,2015,95.0,110.0,102.5,4.04,3.7-4.3
Ford,Focus,2016,94.6,109.6,102.1,4.02,3.7-4.3
Ford,Focus,2017,94.2,109.2,101.7,4.0,3.7-4.3
Ford,Focus,2018,93.8,108.8,101.3,3.99,3.7-4.3
Ford,Focus,2019,93.4,108.4,100.9,3.97,3.7-4.3
Ford,Focus,2020,93.0,108.0,100.5,3.96,3.7-4.3
Ford,Focus,2021,92.6,107.6,100.1,3.94,3.6-4.2
Ford,Focus,2022,92.2,107.2,99.7,3.93,3.6-4.2
Ford,Focus,2023,91.8,106.8,99.3,3.91,3.6-4.2
Ford,Focus,2024,91.4,106.4,98.9,3.89,3.6-4.2
Ford,Focus,2025,91.0,106.0,98.5,3.88,3.6-4.2
Ford,Focus,2026,90.6,105.6,98.1,3.86,3.6-4.2
Ford,F-150,2015,95.0,108.0,101.5,4.0,3.7-4.3
Ford,F-150,2016,94.6,107.6,101.1,3.98,3.7-4.2
Ford,F-150,2017,94.2,107.2,100.7,3.96,3.7-4.2
Ford,F-150,2018,93.8,106.8,100.3,3.95,3.7-4.2
Ford,F-150,2019,93.4,106.4,99.9,3.93,3.7-4.2
Ford,F-150,2020,93.0,106.0,99.5,3.92,3.7-4.2
Ford,F-150,2021,92.6,105.6,99.1,3.9,3.6-4.2
Ford,F-150,2022,92.2,105.2,98.7,3.89,3.6-4.1
Ford,F-150,2023,91.8,104.8,98.3,3.87,3.6-4.1
Ford,F-150,2024,91.4,104.4,97.9,3.85,3.6-4.1
Ford,F-150,2025,91.0,104.0,97.5,3.84,3.6-4.1
Ford,F-150,2026,90.6,103.6,97.1,3.82,3.6-4.1
Ford,Mustang,2015,95.0,110.0,102.5,4.04,3.7-4.3
Ford,Mustang,2016,94.6,109.6,102.1,4.02,3.7-4.3
Ford,Mustang,2017,94.2,109.2,101.7,4.0,3.7-4.3
Ford,Mustang,2018,93.8,108.8,101.3,3.99,3.7-4.3
Ford,Mustang,2019,93.4,108.4,100.9,3.97,3.7-4.3
Ford,Mustang,2020,93.0,108.0,100.5,3.96,3.7-4.3
Ford,Mustang,2021,92.6,107.6,100.1,3.94,3.6-4.2
Ford,Mustang,2022,92.2,107.2,99.7,3.93,3.6-4.2
Ford,Mustang,2023,91.8,106.8,99.3,3.91,3.6-4.2
Ford,Mustang,2024,91.4,106.4,98.9,3.89,3.6-4.2
Ford,Mustang,2025,91.0,106.0,98.5,3.88,3.6-4.2
Ford,Mustang,2026,90.6,105.6,98.1,3.86,3.6-4.2
Ford,Explorer,2015,95.0,110.0,102.5,4.04,3.7-4.3
Ford,Explorer,2016,94.6,109.6,102.1,4.02,3.7-4.3
Ford,Explorer,2017,94.2,109.2,101.7,4.0,3.7-4.3
Ford,Explorer,2018,93.8,108.8,101.3,3.99,3.7-4.3
Ford,Explorer,2019,93.4,108.4,100.9,3.97,3.7-4.3
Ford,Explorer,2020,93.0,108.0,100.5,3.96,3.7-4.3
Ford,Explorer,2021,92.6,107.6,100.1,3.94,3.6-4.2
Ford,Explorer,2022,92.2,107.2,99.7,3.93,3.6-4.2
Ford,Explorer,2023,91.8,106.8,99.3,3.91,3.6-4.2
Ford,Explorer,2024,91.4,106.4,98.9,3.89,3.6-4.2
Ford,Explorer,2025,91.0,106.0,98.5,3.88,3.6-4.2
Ford,Explorer,2026,90.6,105.6,98.1,3.86,3.6-4.2
Ford,Escape/Kuga,2015,95.0,110.0,102.5,4.04,3.7-4.3
Ford,Escape/Kuga,2016,94.6,109.6,102.1,4.02,3.7-4.3
Ford,Escape/Kuga,2017,94.2,109.2,101.7,4.0,3.7-4.3
Ford,Escape/Kuga,2018,93.8,108.8,101.3,3.99,3.7-4.3
Ford,Escape/Kuga,2019,93.4,108.4,100.9,3.97,3.7-4.3
Ford,Escape/Kuga,2020,93.0,108.0,100.5,3.96,3.7-4.3
Ford,Escape/Kuga,2021,92.6,107.6,100.1,3.94,3.6-4.2
Ford,Escape/Kuga,2022,92.2,107.2,99.7,3.93,3.6-4.2
Ford,Escape/Kuga,2023,91.8,106.8,99.3,3.91,3.6-4.2
Ford,Escape/Kuga,2024,91.4,106.4,98.9,3.89,3.6-4.2
Ford,Escape/Kuga,2025,91.0,106.0,98.5,3.88,3.6-4.2
Ford,Escape/Kuga,2026,90.6,105.6,98.1,3.86,3.6-4.2
Ford,Fusion/Mondeo,2015,95.0,110.0,102.5,4.04,3.7-4.3
Ford,Fusion/Mondeo,2016,94.6,109.6,102.1,4.02,3.7-4.3
Ford,Fusion/Mondeo,2017,94.2,109.2,101.7,4.0,3.7-4.3
Ford,Fusion/Mondeo,2018,93.8,108.8,101.3,3.99,3.7-4.3
Ford,Fusion/Mondeo,2019,93.4,108.4,100.9,3.97,3.7-4.3
Ford,Fusion/Mondeo,2020,93.0,108.0,100.5,3.96,3.7-4.3
Ford,Fusion/Mondeo,2021,92.6,107.6,100.1,3.94,3.6-4.2
Ford,Fusion/Mondeo,2022,92.2,107.2,99.7,3.93,3.6-4.2
Ford,Fusion/Mondeo,2023,91.8,106.8,99.3,3.91,3.6-4.2
Ford,Fusion/Mondeo,2024,91.4,106.4,98.9,3.89,3.6-4.2
Ford,Fusion/Mondeo,2025,91.0,106.0,98.5,3.88,3.6-4.2
Ford,Fusion/Mondeo,2026,90.6,105.6,98.1,3.86,3.6-4.2
Chevrolet,Silverado,2015,94.0,108.0,101.0,3.98,3.7-4.3
Chevrolet,Silverado,2016,93.6,107.6,100.6,3.96,3.7-4.2
Chevrolet,Silverado,2017,93.2,107.2,100.2,3.94,3.7-4.2
Chevrolet,Silverado,2018,92.8,106.8,99.8,3.93,3.7-4.2
Chevrolet,Silverado,2019,92.4,106.4,99.4,3.91,3.6-4.2
Chevrolet,Silverado,2020,92.0,106.0,99.0,3.9,3.6-4.2
Chevrolet,Silverado,2021,91.6,105.6,98.6,3.88,3.6-4.2
Chevrolet,Silverado,2022,91.2,105.2,98.2,3.87,3.6-4.1
Chevrolet,Silverado,2023,90.8,104.8,97.8,3.85,3.6-4.1
Chevrolet,Silverado,2024,90.4,104.4,97.4,3.83,3.6-4.1
Chevrolet,Silverado,2025,90.0,104.0,97.0,3.82,3.5-4.1
Chevrolet,Silverado,2026,89.6,103.6,96.6,3.8,3.5-4.1
Chevrolet,Malibu,2015,95.0,105.0,100.0,3.94,3.7-4.1
Chevrolet,Malibu,2016,94.6,104.6,99.6,3.92,3.7-4.1
Chevrolet,Malibu,2017,94.2,104.2,99.2,3.91,3.7-4.1
Chevrolet,Malibu,2018,93.8,103.8,98.8,3.89,3.7-4.1
Chevrolet,Malibu,2019,93.4,103.4,98.4,3.87,3.7-4.1
Chevrolet,Malibu,2020,93.0,103.0,98.0,3.86,3.7-4.1
Chevrolet,Malibu,2021,92.6,102.6,97.6,3.84,3.6-4.0
Chevrolet,Malibu,2022,92.2,102.2,97.2,3.83,3.6-4.0
Chevrolet,Malibu,2023,91.8,101.8,96.8,3.81,3.6-4.0
Chevrolet,Malibu,2024,91.4,101.4,96.4,3.8,3.6-4.0
Chevrolet,Malibu,2025,91.0,101.0,96.0,3.78,3.6-4.0
Chevrolet,Malibu,2026,90.6,100.6,95.6,3.76,3.6-4.0
Chevrolet,Equinox,2015,95.0,105.0,100.0,3.94,3.7-4.1
Chevrolet,Equinox,2016,94.6,104.6,99.6,3.92,3.7-4.1
Chevrolet,Equinox,2017,94.2,104.2,99.2,3.91,3.7-4.1
Chevrolet,Equinox,2018,93.8,103.8,98.8,3.89,3.7-4.1
Chevrolet,Equinox,2019,93.4,103.4,98.4,3.87,3.7-4.1
Chevrolet,Equinox,2020,93.0,103.0,98.0,3.86,3.7-4.1
Chevrolet,Equinox,2021,92.6,102.6,97.6,3.84,3.6-4.0
Chevrolet,Equinox,2022,92.2,102.2,97.2,3.83,3.6-4.0
Chevrolet,Equinox,2023,91.8,101.8,96.8,3.81,3.6-4.0
Chevrolet,Equinox,2024,91.4,101.4,96.4,3.8,3.6-4.0
Chevrolet,Equinox,2025,91.0,101.0,96.0,3.78,3.6-4.0
Chevrolet,Equinox,2026,90.6,100.6,95.6,3.76,3.6-4.0
Chevrolet,Cruze,2015,110.0,140.0,125.0,4.92,4.3-5.5
Chevrolet,Cruze,2016,109.6,139.6,124.6,4.91,4.3-5.5
Chevrolet,Cruze,2017,109.2,139.2,124.2,4.89,4.3-5.5
Chevrolet,Cruze,2018,108.8,138.8,123.8,4.87,4.3-5.5
Chevrolet,Cruze,2019,108.4,138.4,123.4,4.86,4.3-5.4
Chevrolet,Cruze,2020,108.0,138.0,123.0,4.84,4.3-5.4
Chevrolet,Cruze,2021,107.6,137.6,122.6,4.83,4.2-5.4
Chevrolet,Cruze,2022,107.2,137.2,122.2,4.81,4.2-5.4
Chevrolet,Cruze,2023,106.8,136.8,121.8,4.8,4.2-5.4
Chevrolet,Cruze,2024,106.4,136.4,121.4,4.78,4.2-5.4
Chevrolet,Cruze,2025,106.0,136.0,121.0,4.76,4.2-5.4
Chevrolet,Cruze,2026,105.6,135.6,120.6,4.75,4.2-5.3
Chevrolet,Camaro,2015,95.0,110.0,102.5,4.04,3.7-4.3
Chevrolet,Camaro,2016,94.6,109.6,102.1,4.02,3.7-4.3
Chevrolet,Camaro,2017,94.2,109.2,101.7,4.0,3.7-4.3
Chevrolet,Camaro,2018,93.8,108.8,101.3,3.99,3.7-4.3
Chevrolet,Camaro,2019,93.4,108.4,100.9,3.97,3.7-4.3
Chevrolet,Camaro,2020,93.0,108.0,100.5,3.96,3.7-4.3
Chevrolet,Camaro,2021,92.6,107.6,100.1,3.94,3.6-4.2
Chevrolet,Camaro,2022,92.2,107.2,99.7,3.93,3.6-4.2
Chevrolet,Camaro,2023,91.8,106.8,99.3,3.91,3.6-4.2
Chevrolet,Camaro,2024,91.4,106.4,98.9,3.89,3.6-4.2
Chevrolet,Camaro,2025,91.0,106.0,98.5,3.88,3.6-4.2
Chevrolet,Camaro,2026,90.6,105.6,98.1,3.86,3.6-4.2
Nissan,Altima,2015,95.0,115.0,105.0,4.13,3.7-4.5
Nissan,Altima,2016,94.6,114.6,104.6,4.12,3.7-4.5
Nissan,Altima,2017,94.2,114.2,104.2,4.1,3.7-4.5
Nissan,Altima,2018,93.8,113.8,103.8,4.09,3.7-4.5
Nissan,Altima,2019,93.4,113.4,103.4,4.07,3.7-4.5
Nissan,Altima,2020,93.0,113.0,103.0,4.06,3.7-4.4
Nissan,Altima,2021,92.6,112.6,102.6,4.04,3.6-4.4
Nissan,Altima,2022,92.2,112.2,102.2,4.02,3.6-4.4
Nissan,Altima,2023,91.8,111.8,101.8,4.01,3.6-4.4
Nissan,Altima,2024,91.4,111.4,101.4,3.99,3.6-4.4
Nissan,Altima,2025,91.0,111.0,101.0,3.98,3.6-4.4
Nissan,Altima,2026,90.6,110.6,100.6,3.96,3.6-4.4
Nissan,Sentra,2015,90.0,110.0,100.0,3.94,3.5-4.3
Nissan,Sentra,2016,89.6,109.6,99.6,3.92,3.5-4.3
Nissan,Sentra,2017,89.2,109.2,99.2,3.91,3.5-4.3
Nissan,Sentra,2018,88.8,108.8,98.8,3.89,3.5-4.3
Nissan,Sentra,2019,88.4,108.4,98.4,3.87,3.5-4.3
Nissan,Sentra,2020,88.0,108.0,98.0,3.86,3.5-4.3
Nissan,Sentra,2021,87.6,107.6,97.6,3.84,3.4-4.2
Nissan,Sentra,2022,87.2,107.2,97.2,3.83,3.4-4.2
Nissan,Sentra,2023,86.8,106.8,96.8,3.81,3.4-4.2
Nissan,Sentra,2024,86.4,106.4,96.4,3.8,3.4-4.2
Nissan,Sentra,2025,86.0,106.0,96.0,3.78,3.4-4.2
Nissan,Sentra,2026,85.6,105.6,95.6,3.76,3.4-4.2
Nissan,Rogue/X-Trail,2015,75.0,120.0,97.5,3.84,3.0-4.7
Nissan,Rogue/X-Trail,2016,74.6,119.6,97.1,3.82,2.9-4.7
Nissan,Rogue/X-Trail,2017,74.2,119.2,96.7,3.81,2.9-4.7
Nissan,Rogue/X-Trail,2018,73.8,118.8,96.3,3.79,2.9-4.7
Nissan,Rogue/X-Trail,2019,73.4,118.4,95.9,3.78,2.9-4.7
Nissan,Rogue/X-Trail,2020,73.0,118.0,95.5,3.76,2.9-4.6
Nissan,Rogue/X-Trail,2021,72.6,117.6,95.1,3.74,2.9-4.6
Nissan,Rogue/X-Trail,2022,72.2,117.2,94.7,3.73,2.8-4.6
Nissan,Rogue/X-Trail,2023,71.8,116.8,94.3,3.71,2.8-4.6
Nissan,Rogue/X-Trail,2024,71.4,116.4,93.9,3.7,2.8-4.6
Nissan,Rogue/X-Trail,2025,71.0,116.0,93.5,3.68,2.8-4.6
Nissan,Rogue/X-Trail,2026,70.6,115.6,93.1,3.67,2.8-4.6
Nissan,Qashqai,2015,110.0,125.0,117.5,4.63,4.3-4.9
Nissan,Qashqai,2016,109.6,124.6,117.1,4.61,4.3-4.9
Nissan,Qashqai,2017,109.2,124.2,116.7,4.59,4.3-4.9
Nissan,Qashqai,2018,108.8,123.8,116.3,4.58,4.3-4.9
Nissan,Qashqai,2019,108.4,123.4,115.9,4.56,4.3-4.9
Nissan,Qashqai,2020,108.0,123.0,115.5,4.55,4.3-4.8
Nissan,Qashqai,2021,107.6,122.6,115.1,4.53,4.2-4.8
Nissan,Qashqai,2022,107.2,122.2,114.7,4.52,4.2-4.8
Nissan,Qashqai,2023,106.8,121.8,114.3,4.5,4.2-4.8
Nissan,Qashqai,2024,106.4,121.4,113.9,4.48,4.2-4.8
Nissan,Qashqai,2025,106.0,121.0,113.5,4.47,4.2-4.8
Nissan,Qashqai,2026,105.6,120.6,113.1,4.45,4.2-4.7
Nissan,Pathfinder,2015,100.0,110.0,105.0,4.13,3.9-4.3
Nissan,Pathfinder,2016,99.6,109.6,104.6,4.12,3.9-4.3
Nissan,Pathfinder,2017,99.2,109.2,104.2,4.1,3.9-4.3
Nissan,Pathfinder,2018,98.8,108.8,103.8,4.09,3.9-4.3
Nissan,Pathfinder,2019,98.4,108.4,103.4,4.07,3.9-4.3
Nissan,Pathfinder,2020,98.0,108.0,103.0,4.06,3.9-4.3
Nissan,Pathfinder,2021,97.6,107.6,102.6,4.04,3.8-4.2
Nissan,Pathfinder,2022,97.2,107.2,102.2,4.02,3.8-4.2
Nissan,Pathfinder,2023,96.8,106.8,101.8,4.01,3.8-4.2
Nissan,Pathfinder,2024,96.4,106.4,101.4,3.99,3.8-4.2
Nissan,Pathfinder,2025,96.0,106.0,101.0,3.98,3.8-4.2
Nissan,Pathfinder,2026,95.6,105.6,100.6,3.96,3.8-4.2
Nissan,Murano,2015,90.0,100.0,95.0,3.74,3.5-3.9
Nissan,Murano,2016,89.6,99.6,94.6,3.72,3.5-3.9
Nissan,Murano,2017,89.2,99.2,94.2,3.71,3.5-3.9
Nissan,Murano,2018,88.8,98.8,93.8,3.69,3.5-3.9
Nissan,Murano,2019,88.4,98.4,93.4,3.68,3.5-3.9
Nissan,Murano,2020,88.0,98.0,93.0,3.66,3.5-3.9
Nissan,Murano,2021,87.6,97.6,92.6,3.65,3.4-3.8
Nissan,Murano,2022,87.2,97.2,92.2,3.63,3.4-3.8
Nissan,Murano,2023,86.8,96.8,91.8,3.61,3.4-3.8
Nissan,Murano,2024,86.4,96.4,91.4,3.6,3.4-3.8
Nissan,Murano,2025,86.0,96.0,91.0,3.58,3.4-3.8
Nissan,Murano,2026,85.6,95.6,90.6,3.57,3.4-3.8
Hyundai,Elantra,2015,70.0,100.0,85.0,3.35,2.8-3.9
Hyundai,Elantra,2016,69.6,99.6,84.6,3.33,2.7-3.9
Hyundai,Elantra,2017,69.2,99.2,84.2,3.31,2.7-3.9
Hyundai,Elantra,2018,68.8,98.8,83.8,3.3,2.7-3.9
Hyundai,Elantra,2019,68.4,98.4,83.4,3.28,2.7-3.9
Hyundai,Elantra,2020,68.0,98.0,83.0,3.27,2.7-3.9
Hyundai,Elantra,2021,67.6,97.6,82.6,3.25,2.7-3.8
Hyundai,Elantra,2022,67.2,97.2,82.2,3.24,2.6-3.8
Hyundai,Elantra,2023,66.8,96.8,81.8,3.22,2.6-3.8
Hyundai,Elantra,2024,66.4,96.4,81.4,3.2,2.6-3.8
