uid,strict_status,priority,make,model_as_supplied,asset_title,year_evidence,generation_evidence,visual_trim_evidence,body_style_evidence,faces,likes,metadata_score,duplicate_count,duplicate_rank,creator,licence_recorded,licence_status,commercial_gate,source_page,download_api_endpoint,source_origin,source_uid_valid,visual_qc,glass_qc,interior_qc,pbr_qc,scale_qc,live_link_check,final_publish,decision_reason
20bd497876a44910bff0670d86127a9b,PRIORITY B,Manual metadata/visual review,Honda,Acty,Honda Acty,,,,Hatchback/Car,223297,210,74,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/20bd497876a44910bff0670d86127a9b,https://sketchfab.com/models/20bd497876a44910bff0670d86127a9b/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
240e909a9180493ebdc1def6cbdde88f,PRIORITY B,Manual metadata/visual review,Honda,Fit,Honda Fit,,,,Hatchback/Car,439592,96,72,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/240e909a9180493ebdc1def6cbdde88f,https://sketchfab.com/models/240e909a9180493ebdc1def6cbdde88f/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
17cc85164ad143e5bb0f3cd0a88079d2,PRIORITY B,Manual metadata/visual review,Honda,Fit,2016 Honda Fit DBA-GK3,2016,,,Hatchback/Car,118794,78,71,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/17cc85164ad143e5bb0f3cd0a88079d2,https://sketchfab.com/models/17cc85164ad143e5bb0f3cd0a88079d2/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
6af77df7e9fa40a3804ef2811d6a65e9,PRIORITY B,Manual metadata/visual review,Honda,Fit,2020 Honda Fit Hybrid 6AA-GR3,2020,,,Hatchback/Car,110475,87,72,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/6af77df7e9fa40a3804ef2811d6a65e9,https://sketchfab.com/models/6af77df7e9fa40a3804ef2811d6a65e9/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
a4827c4d86224ab586218654559f4627,PRIORITY B,Manual metadata/visual review,Honda,Odyssey,Honda Odyssey,,,,Hatchback/Car,609513,4,75,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/a4827c4d86224ab586218654559f4627,https://sketchfab.com/models/a4827c4d86224ab586218654559f4627/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
1afad9d95b094c98a3e55db2fb331ac9,PRIORITY B,Manual metadata/visual review,Hyundai,Hyundai i40,Hyundai I40,,,,Hatchback/Car,589883,3,75,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/1afad9d95b094c98a3e55db2fb331ac9,https://sketchfab.com/models/1afad9d95b094c98a3e55db2fb331ac9/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
574deec95f094e9192b0023d3d4ad607,PRIORITY B,Manual metadata/visual review,Hyundai,Hyundai Tucson,Hyundai Tucson 2022,2022,,,Hatchback/Car,496000,8,79,1,1,Nieve5677,CC BY,Web-verified CC BY,CC BY recorded at collection time — recheck live page and preserve attribution,https://sketchfab.com/3d-models/574deec95f094e9192b0023d3d4ad607,https://sketchfab.com/models/574deec95f094e9192b0023d3d4ad607/download,New scrape — 29 Jul 2026,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
f3865ee652474fcc969196e4bfc3493d,PRIORITY B,Manual metadata/visual review,Jaguar,Jaguar F-Pace,Jaguar F- Pace,,,,Hatchback/Car,379300,1,64,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/f3865ee652474fcc969196e4bfc3493d,https://sketchfab.com/models/f3865ee652474fcc969196e4bfc3493d/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
f02a53a87b744d09a6cedceb568c4580,PRIORITY B,Manual metadata/visual review,Jaguar,Jaguar F-Pace,jaguar f-pace,,,,Hatchback/Car,1144970,1,64,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/f02a53a87b744d09a6cedceb568c4580,https://sketchfab.com/models/f02a53a87b744d09a6cedceb568c4580/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
6db67d7578f34a728f683fd54f485b15,PRIORITY B,Manual metadata/visual review,Lexus,Lbx,Lexus LBX,,,,Hatchback/Car,358712,5,66,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/6db67d7578f34a728f683fd54f485b15,https://sketchfab.com/models/6db67d7578f34a728f683fd54f485b15/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
fca7ffc299c44b699de926d24482d3c8,PRIORITY B,Manual metadata/visual review,Lexus,Lexus GS,lexus gs 300 lowerd,,,GS,Hatchback/Car,302473,10,67,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/fca7ffc299c44b699de926d24482d3c8,https://sketchfab.com/models/fca7ffc299c44b699de926d24482d3c8/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
b25af87f9f28472084d148b1b1d08905,PRIORITY B,Manual metadata/visual review,Lexus,Lexus GS,Lexus GS,,,GS,Hatchback/Car,914108,7,67,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/b25af87f9f28472084d148b1b1d08905,https://sketchfab.com/models/b25af87f9f28472084d148b1b1d08905/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
a9f5713e8a4349458085b96d9fea4000,PRIORITY B,Manual metadata/visual review,Lexus,Lexus GS,2004 Lexus GS 430,2004,,GS,Hatchback/Car,1140094,59,72,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/a9f5713e8a4349458085b96d9fea4000,https://sketchfab.com/models/a9f5713e8a4349458085b96d9fea4000/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
610652d234a3470e891c7b1ce8030a80,PRIORITY B,Manual metadata/visual review,Lexus,Lexus GS,Lexus GS S160 2004,2004,,GS,Hatchback/Car,1140094,21,70,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/610652d234a3470e891c7b1ce8030a80,https://sketchfab.com/models/610652d234a3470e891c7b1ce8030a80/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
600fd97b99cf4e60beeb24cc51c96107,PRIORITY B,Manual metadata/visual review,Lexus,Lexus GS,Lexus GS MK4 2012-2020,2012–2020,Mk4,GS,Hatchback/Car,352350,4,69,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/600fd97b99cf4e60beeb24cc51c96107,https://sketchfab.com/models/600fd97b99cf4e60beeb24cc51c96107/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
71e499219de548a7a1be74c237b6a2fb,PRIORITY B,Manual metadata/visual review,MINI,Truck,Mini-Truck,,,,Hatchback/Car,153449,14,61,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/models/71e499219de548a7a1be74c237b6a2fb,https://huggingface.co/datasets/allenai/objaverse/resolve/main/glbs/71/71e499219de548a7a1be74c237b6a2fb.glb,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
976be06a80ed4dcc8dfa734852e72133,PRIORITY B,Manual metadata/visual review,Mitsubishi,Mitsubishi Colt,Mitsubishi Colt 3door,,,,Hatchback/Car,1243162,7,77,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/976be06a80ed4dcc8dfa734852e72133,https://sketchfab.com/models/976be06a80ed4dcc8dfa734852e72133/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
ac884399355b4c9c91eeded016a88297,PRIORITY B,Manual metadata/visual review,Mitsubishi,Mitsubishi Outlander,2003 Mitsubishi Outlander,2003,,,Hatchback/Car,196037,4,59,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/ac884399355b4c9c91eeded016a88297,https://sketchfab.com/models/ac884399355b4c9c91eeded016a88297/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
bc2dabd5a1454c9f967bdf680102352c,PRIORITY B,Manual metadata/visual review,Mitsubishi,Mitsubishi Outlander,Mitsubishi Outlander 2022,2022,,,Hatchback/Car,439380,13,75,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/bc2dabd5a1454c9f967bdf680102352c,https://sketchfab.com/models/bc2dabd5a1454c9f967bdf680102352c/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
a558be03c05a4c6c95e950438f9ec401,PRIORITY B,Manual metadata/visual review,Peugeot,Peugeot 407,Peugeot 407,,,,Hatchback/Car,270484,43,70,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/a558be03c05a4c6c95e950438f9ec401,https://sketchfab.com/models/a558be03c05a4c6c95e950438f9ec401/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
